id,name
R22,AGLIPAY
R08,ALLIANCE
R15,ASSEMBLY OF GOD
R07,BAPTIST
R19,BIBLE BAPTIST
R03,BORN AGAIN
R33,CAMACOP
R28,CHRISTIAN ALLIANCE
R24,CHRISTIAN BRETHREN
R11,CHURCH OF CHRIST
R34,CHURCH OF GOD
R27,CRF
R12,EPISCOPAL
R31,ESPIRITISTA
R16,EVANGELICAL PROTESTANT
R18,FOURSQUARE
R35,FUNDAMENTAL BAPTIST
R06,IGLESIA NI CRISTO
R10,INDEPENDENT CATHOLIC
R32,INTERNATIONAL ONE WAY OUTREACH
R09,ISLAM
R05,JEHOVAH'S WITNESSES
R20,METHODIST
R23,MORMONS
R26,NOT STATED
R13,PENTECOSTAL
R36,PILIPINISTA
R04,PROTESTANT
R01,ROMAN CATHOLIC
R30,SAMBAHANG BANAL
R02,SEVENTH DAY ADVENTIST
R17,SOUTHERN BAPTIST
R29,UECFI
R14,UNITED CHURCH OF CHRIST IN THE PHILIPPINES
R25,UNIVERSAL SOVEREIGN CATHOLIC
R21,WESLEYAN
