id,vecbody_id,name,old_body_code
product_body_00000000002,00000000002,,1
product_body_00000000003,00000000003,WITH CANOPY,2
product_body_00000000004,00000000004,PASSENGER HARDTOP STD,3
product_body_00000000005,00000000005,PASSENGER HARDTOP EXTNDED,4
product_body_00000000006,00000000006,TRAPAL STANDARD,5
product_body_00000000007,00000000007,TRAPAL EXTENDED,6
product_body_00000000008,00000000008,REAR ENGINE,7
product_body_00000000009,00000000009,FRONT ENGINE,8
product_body_00000000010,00000000010,MINI VAN,9
product_body_00000000011,00000000011,CREW CAB P-UP,10
product_body_00000000012,00000000012,1,11
product_body_00000000013,00000000013,PICK-UP HI-ACE,12
product_body_00000000014,00000000014,WAGON,13
