"id","name","branchdept_level_id:id"
"hr.department_ACCOUNTING","ACCOUNTING","config.levelTIG"
"hr.department_ASI","ASI","config.levelASI"
"hr.department_AUDIT","AUDIT","config.levelTIG"
"hr.department_BOD/KITCHEN","BOD/KITCHEN","config.levelTIG"
"hr.department_CBGFI","CBGFI","config.levelHead Office"
"hr.department_CFI GSC","CFI GSC",
"hr.department_CFI ISULAN","CFI ISULAN",
"hr.department_CFI MAIN","CFI MAIN",
"hr.department_CFI MARBEL","CFI MARBEL",
"hr.department_CPMRD","CPMRD","config.levelTIG"
"hr.department_EASCO","EASCO",
"hr.department_EPFC AGDAO","EPFC AGDAO","config.levelBranch"
"hr.department_EPFC CALINAN","EPFC CALINAN","config.levelBranch"
"hr.department_EPFC CNC","EPFC CNC","config.levelHead Office"
"hr.department_EPFC DIGOS","EPFC DIGOS","config.levelBranch"
"hr.department_EPFC FINANCE","EPFC FINANCE","config.levelHead Office"
"hr.department_EPFC ISULAN 1","EPFC ISULAN 1","config.levelBranch"
"hr.department_EPFC ISULAN 2","EPFC ISULAN 2","config.levelBranch"
"hr.department_EPFC KIDAPAWAN","EPFC KIDAPAWAN","config.levelBranch"
"hr.department_EPFC KORONADAL 1","EPFC KORONADAL 1","config.levelBranch"
"hr.department_EPFC KORONADAL 2","EPFC KORONADAL 2","config.levelBranch"
"hr.department_EPFC LAPASAN","EPFC LAPASAN","config.levelBranch"
"hr.department_EPFC MARAMAG","EPFC MARAMAG","config.levelBranch"
"hr.department_EPFC MARBEL","EPFC MARBEL","config.levelBranch"
"hr.department_EPFC MATI","EPFC MATI","config.levelBranch"
"hr.department_EPFC OPERATION","EPFC OPERATION","config.levelHead Office"
"hr.department_EPFC PANABO","EPFC PANABO","config.levelBranch"
"hr.department_EPFC POLOMOLOK","EPFC POLOMOLOK","config.levelBranch"
"hr.department_EPFC SURALLAH 1","EPFC SURALLAH 1","config.levelBranch"
"hr.department_EPFC SURALLAH 2","EPFC SURALLAH 2","config.levelBranch"
"hr.department_EPFC TACURONG","EPFC TACURONG","config.levelBranch"
"hr.department_EPFC TAGUM","EPFC TAGUM","config.levelBranch"
"hr.department_EPFC VALENCIA","EPFC VALENCIA","config.levelBranch"
"hr.department_HCM","HCM","config.levelTIG"
"hr.department_HLRDC HEAD OFFICE","HLRDC HEAD OFFICE",
"hr.department_HONDA FINANCE","HONDA FINANCE","config.levelHead Office"
"hr.department_HONDA ISULAN","HONDA ISULAN","config.levelBranch"
"hr.department_HONDA MARAMAG","HONDA MARAMAG","config.levelBranch"
"hr.department_HONDA MARBEL","HONDA MARBEL","config.levelBranch"
"hr.department_HONDA OPERATION","HONDA OPERATION","config.levelHead Office"
"hr.department_HONDA SURALLAH","HONDA SURALLAH","config.levelBranch"
"hr.department_IAD","IAD","config.levelTIG"
"hr.department_ICD","ICD","config.levelTIG"
"hr.department_IMG","IMG","config.levelTIG"
"hr.department_IMG(WAREHOUSE)","IMG(WAREHOUSE)","config.levelTIG"
"hr.department_LEGAL","LEGAL","config.levelTIG"
"hr.department_MARKETING","MARKETING","config.levelTIG"
"hr.department_MC-COMPTROLLER","MC-COMPTROLLER","config.levelTIG"
"hr.department_MIS","MIS","config.levelTIG"
"hr.department_MUTI 3S","MUTI 3S","config.levelBranch"
"hr.department_MUTI AGDAO","MUTI AGDAO","config.levelBranch"
"hr.department_MUTI AGS","MUTI AGS","config.levelBranch"
"hr.department_MUTI CALINAN","MUTI CALINAN","config.levelBranch"
"hr.department_MUTI DIGOS","MUTI DIGOS","config.levelBranch"
"hr.department_MUTI FINANCE","MUTI FINANCE","config.levelHead Office"
"hr.department_MUTI ISULAN","MUTI ISULAN","config.levelBranch"
"hr.department_MUTI KIDAPAWAN","MUTI KIDAPAWAN","config.levelBranch"
"hr.department_MUTI LAPASAN","MUTI LAPASAN","config.levelBranch"
"hr.department_MUTI MARBEL","MUTI MARBEL","config.levelBranch"
"hr.department_MUTI OPERATION","MUTI OPERATION","config.levelHead Office"
"hr.department_MUTI PANABO","MUTI PANABO","config.levelBranch"
"hr.department_MUTI POLOMOLOK","MUTI POLOMOLOK","config.levelBranch"
"hr.department_MUTI SPARE PARTS","MUTI SPARE PARTS","config.levelBranch"
"hr.department_MUTI SURALLAH","MUTI SURALLAH","config.levelBranch"
"hr.department_MUTI TACURONG","MUTI TACURONG","config.levelBranch"
"hr.department_MUTI TAGUM","MUTI TAGUM","config.levelBranch"
"hr.department_MUTI VALENCIA","MUTI VALENCIA","config.levelBranch"
"hr.department_MUTI VILLA AMOR","MUTI VILLA AMOR","config.levelBranch"
"hr.department_NON-MC COMPTROLLER","NON-MC COMPTROLLER","config.levelTIG"
"hr.department_PAYROLL","PAYROLL","config.levelTIG"
"hr.department_PUMGAS LAGAO","PUMGAS LAGAO","config.levelPUMGAS Head Office"
"hr.department_PUMGAS SINAWAL","PUMGAS SINAWAL","config.levelPUMGAS Head Office"
"hr.department_R&M","R&M","config.levelTIG"
"hr.department_SALLY","SALLY","config.levelTIG"
"hr.department_TIG","TIG","config.levelTIG"
"hr.department_BRDC HEAD OFFICE","BRDC HEAD OFFICE","config.levelBRDC Head Office"
